ID,Titulo,Descripcion Simple,Evaluaciones,Tipo,Precio,URL,Capacidad,Baños,Baño Compartido,Latitud,Longitud,Pais,Precio_por_persona,Rating
1.2006883829143196e+18,Magníficas vistas sobre la arena de la playa Wifi,"Alojamiento entero: piso en Guardamar de la Safor, España",59.0,0.0,4.356708826689592,https://www.airbnb.es/rooms/31709557?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=661906598&search_mode=flex_destinations_search&check_in=2024-04-10&check_out=2024-04-16&source_impression_id=p3_1710967122_NkyB2WbSTggkWJEg&previous_page_section_name=1000,6.0,2.0,0.0,40.62273805,-2.9027618,0.0,13.0,4.883333333333334
5.375220911806434e+18,Melior-1E,"Alojamiento entero: piso en Calp, España",8.0,0.0,4.418840607796598,https://www.airbnb.es/rooms/37584336?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1419088652&search_mode=flex_destinations_search&check_in=2024-05-05&check_out=2024-05-10&source_impression_id=p3_1710967165_LxHg3sXSoW3PWPNi&previous_page_section_name=1000,6.0,2.0,0.0,38.6443252,0.046012,0.0,13.833333333333334,4.716666666666667
5.565177383406694e+17,VERALUX,"Alojamiento entero: piso en Benidorm, España",20.0,0.0,4.248495242049359,https://www.airbnb.es/rooms/46527977?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1097478211&search_mode=flex_destinations_search&check_in=2024-03-22&check_out=2024-03-27&source_impression_id=p3_1710967163_kKxkKQMTv6y6JX4B&previous_page_section_name=1000,4.0,2.0,0.0,40.62273805,-2.9027618,0.0,17.5,4.483333333333333
8.800182335332004e+18,Isea Calpe,"Alojamiento entero: piso en Calp, España",557.0,0.0,4.852030263919617,https://www.airbnb.es/rooms/721277134871448378?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1495138219&search_mode=flex_destinations_search&check_in=2024-03-31&check_out=2024-04-05&source_impression_id=p3_1710967156_fzT8liu3i8tCTdKC&previous_page_section_name=1000,4.0,2.0,0.0,38.6443252,0.046012,0.0,32.0,4.85
-5.036294419472546e+18,"Apartamento luminoso, internet, Netflix","Alojamiento entero: apto. residencial en Grau i Platja, España",64.0,0.0,4.442651256490317,https://www.airbnb.es/rooms/50155790?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1195141353&search_mode=flex_destinations_search&check_in=2024-03-31&check_out=2024-04-05&source_impression_id=p3_1710967158_49JI3FTL95nFkw%2FM&previous_page_section_name=1000,6.0,1.0,0.0,38.9934328,-0.1615239,0.0,14.166666666666666,4.833333333333333
3.765214563568426e+18,Voramar 3 Playa Puerto de Sagunto,"Alojamiento entero: piso en Port de Sagunt, España",8.0,0.0,4.584967478670572,https://www.airbnb.es/rooms/920102069611458157?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1681778266&search_mode=flex_destinations_search&check_in=2024-04-26&check_out=2024-05-01&source_impression_id=p3_1710967159_ufBy1mjLPr%2B09SxL&previous_page_section_name=1000,5.0,2.0,0.0,40.62273805,-2.9027618,0.0,19.6,4.95
2.769223886427213e+18,Primera linea de playa adaptado movilidad reducida,"Alojamiento entero: piso en Benidorm, España",16.0,0.0,4.543294782270004,https://www.airbnb.es/rooms/44026735?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1408091021&search_mode=flex_destinations_search&check_in=2024-05-15&check_out=2024-05-22&source_impression_id=p3_1710967159_ysju4iSoRlpJiFuc&previous_page_section_name=1000,5.0,1.0,0.0,38.5406255,-0.1290929,0.0,18.8,4.816666666666666
8.689080550819187e+18,3) Amplia hab. a pasos de playa.,"Habitación en Donostia, España",8.0,0.0,4.787491742782046,https://www.airbnb.es/rooms/886186959137688064?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1693121021&search_mode=flex_destinations_search&check_in=2024-07-01&check_out=2024-07-06&source_impression_id=p3_1710967164_qidfEjBj9BLciHsf&previous_page_section_name=1000,5.0,1.0,1.0,43.3224219,-1.9838889,0.0,24.0,4.733333333333333
-2.4988112092964813e+18,Una casa en primera línea de playa (VT-46948-V),"Alojamiento entero: piso en Playa, España",54.0,0.0,4.6443908991413725,https://www.airbnb.es/rooms/28068305?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1262226739&search_mode=flex_destinations_search&check_in=2024-04-22&check_out=2024-04-27&source_impression_id=p3_1710967159_YMTAeDCN1IcJ4aoI&previous_page_section_name=1000,6.0,2.0,0.0,40.0126771,-0.3069091,0.0,17.333333333333332,4.949999999999999
-2.6664241070503555e+17,Amatista Beachfront Departamento,"Alojamiento entero: piso en Calpe, España",31.0,0.0,4.382026634673881,https://www.airbnb.es/rooms/41498026?adults=1&category_tag=Tag%3A789&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=953072116&search_mode=flex_destinations_search&check_in=2024-05-14&check_out=2024-05-21&source_impression_id=p3_1710967156_zi2LJvNXjf7pYT0n&previous_page_section_name=1000,3.0,1.0,0.0,38.6443252,0.046012,0.0,26.666666666666668,4.85
